Begin test cases.
120;9;
117;8;
91;109;
115;-47;
36;-23;
3;65;
-7;-10;
22;94;
83;74;
124;-56;
98;19;
61;99;
-87;124;
42;-113;
7;26;
-99;33;
10;-108;
95;66;
2;94;
51;12;
108;58;
-26;-52;
33;62;
121;79;
38;10;
16;92;
101;67;
73;-68;
75;-98;
108;77;
56;-15;
38;-9;
8;100;
3;83;
125;-25;
88;94;
-60;-110;
77;30;
89;93;
107;-64;
68;-114;
108;37;
64;-43;
109;95;
5;0;
24;-110;
47;87;
101;92;
8;17;
106;15;
24;124;
-59;70;
2;-18;
59;95;
-46;55;
91;-98;
80;111;
-113;-42;
113;86;
41;116;
2;-7;
33;-85;
85;119;
38;30;
1;59;
61;90;
-84;-37;
114;-48;
111;64;
75;-122;
117;42;
116;2;
106;78;
95;74;
-96;-16;
73;6;
123;103;
112;31;
25;75;
40;19;
-5;16;
28;47;
78;108;
25;-100;
87;-53;
46;96;
-42;-88;
84;-29;
45;36;
41;-67;
117;39;
39;124;
-102;-123;
27;121;
79;44;
72;-62;
113;64;
57;75;
80;-15;
86;71;
57;19;
-37;-40;
94;126;
26;84;
82;-41;
15;109;
121;28;
-119;78;
56;-2;
101;64;
64;72;
54;11;
-66;-22;
67;-38;
74;35;
20;-45;
31;53;
74;53;
-128;88;
101;37;
75;37;
-39;115;
35;17;
122;70;
13;22;
57;89;
122;97;
84;-80;
42;-63;
66;125;
24;87;
111;33;
15;79;
69;-10;
34;109;
97;114;
100;-47;
72;-95;
3;66;
104;-49;
48;-115;
16;102;
-105;102;
34;123;
35;52;
-65;107;
77;-90;
77;25;
-10;-46;
114;111;
63;106;
18;25;
78;19;
91;6;
102;122;
38;-66;
3;97;
12;-127;
107;-20;
76;95;
-108;-68;
22;-85;
59;45;
-17;86;
12;-76;
121;58;
86;105;
125;101;
72;31;
79;18;
53;-115;
38;125;
-90;-15;
88;80;
32;48;
-15;40;
44;22;
119;94;
-27;-96;
20;50;
9;89;
36;73;
7;-37;
115;51;
1;20;
36;-82;
114;106;
19;97;
109;-125;
113;107;
116;-111;
69;36;
-41;88;
