Ver 	Mode	NumSt	Memory(kbytes)	Parser Time(msec)    Caculate Time(msec)	           Min		   Max
1		0		24			442					1514					135					0.1667		0.3750
1		1		24			456					1488					193					0.1250		0.2917
2		0		24			442					1606					129					0.2083		0.4167
2		1		24			456					1629					97					0.1250		0.2500
3		0		24			440					1555					168					0.1250		0.3333
3		1		24			453					1586					173					0.0417		0.2083
4		0		39			458					5367					88					0.0769		0.0769
4		1		39			477					5163					105					0.0513		0.0513
5		0		39			458					5106					83					0.0513		0.0513
5		1		39			477					5174					107					0.0256		0.0256
6		0		39			458					5151					84					0.0000		0.0769
6		1		39			477					5191					113					0.0000		0.0256
