Begin test cases.
467;144;100;100;102
777;188;500;500;500
777;812;100;400;100
888;882;100;400;500
900;882;100;400;100
900;888;100;400;200
299;800;100;100;1000
700;188;511;100;810
700;188;500;100;810
700;188;400;100;600
600;188;400;100;799
900;800;110;200;1000
456;789;400;100;900
777;888;100;400;001
888;888;500;500;500
900;700;400;500;500
001;887;100;999;100
900;399;100;400;1000
999;888;500;500;1000
888;011;900;100;1000
500;888;400;100;1000
111;888;300;600;1000
900;800;400;100;700
400;700;600;300;676
777;222;500;600;1000
End test cases.
