Begin test cases.
282;11;94
404;70;25
432;77;48
433;77;27
14;3;3
200;11;2
297;11;2
22;11;10
76;4;85
24;72;72
88;4;85
88;14;75
112;199;34
112;6;49
13;2;11
28;249;63
28;297;7
42;200;4
42;222;30
42;300;99
2;253;14
2;205;50
2;281;81
460;291;9
460;299;32
460;298;39
548;203;7
548;249;5
552;209;85
887;282;4
333;312;75
611;398;1
334;478;32
336;653;3
999;358;4
998;666;3
996;777;6
994;742;26
664;800;8
773;411;9
664;398;11
680;638;4
688;532;14
206;689;15
274;619;16
742;642;96
738;563;55
846;500;2
822;700;45
465;799;48
488;522;86
464;487;24
353;610;53
8;629;98
772;678;54
482;546;49
771;41;90
688;370;53
1;368;99
569;723;23
1;711;46
726;795;18
700;401;42
934;510;91
630;758;53
461;477;16
598;351;34
592;744;24
594;761;45
514;681;96
368;367;82
460;609;8
288;764;97
84;562;46
234;359;32
269;654;39
21;716;57
876;548;53
380;765;64
666;794;24
218;819;75
634;820;39
89;999;54
59;914;13
634;888;34
104;992;22
16;834;47
602;874;53
2;900;31
41;834;3
426;957;29
586;821;45
326;953;85
246;803;24
37;917;29
286;834;10
234;907;75
444;943;32
576;963;31
999;914;83
End test cases.
